"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01001684: Shaftesbury 4 ",1097,1135,1111,1006,934,1708,412,171,926
"","W01001685: Stow Hill 1 ",462,392,522,804,565,1840,49,146,405
"","W01001686: Stow Hill 2 ",833,972,941,260,1364,1171,1063,94,1323
"","W01001687: Stow Hill 3 ",224,240,153,313,686,1794,102,82,233
"","W01001688: Tredegar Park 1 ",436,427,861,427,355,719,551,9,1141
"","W01001689: Tredegar Park 2 ",40,25,73,171,37,916,386,6,727
"","W01001690: Victoria 1 ",478,413,782,688,441,1684,191,7,569
"","W01001691: Victoria 2 ",413,410,456,217,856,1740,130,126,639
"","W01001692: Victoria 3 ",345,256,585,368,583,1847,176,43,155
"","W01001693: Victoria 4 ",179,203,183,300,600,1795,9,71,66
"Cardiff ","",".",".",".",".",".",".",".",".","."
"Cardiff ","W01001694: Adamsdown 1 ",148,83,347,228,364,1891,15,55,169
"","W01001695: Adamsdown 2 ",536,600,1111,828,216,1585,726,104,27
"","W01001696: Adamsdown 3 ",78,104,253,34,64,1826,86,159,99
"","W01001697: Adamsdown 4 ",294,238,522,230,582,1689,100,113,247
"","W01001698: Adamsdown 5 ",122,113,253,54,386,1869,75,166,35
"","W01001699: Butetown 1 ",42,13,97,132,144,1681,105,35,117
"","W01001700: Butetown 2 ",68,121,183,21,111,1192,219,22,43
"","W01001701: Butetown 3 ",1079,1394,1673,1844,522,861,754,33,260
"","W01001702: Caerau (Cardiff) 1 ",639,465,708,1163,410,877,327,1077,792
"","W01001703: Caerau (Cardiff) 2 ",154,124,253,195,114,1525,349,977,73
"","W01001704: Caerau (Cardiff) 3 ",57,30,153,103,69,1369,4,1231,108
"","W01001705: Caerau (Cardiff) 4 ",277,127,585,481,184,981,416,1173,193
"","W01001706: Caerau (Cardiff) 5 ",761,730,708,1064,843,1643,297,95,678
"","W01001707: Caerau (Cardiff) 6 ",227,213,347,277,151,1576,89,919,151
"","W01001708: Caerau (Cardiff) 7 ",170,137,120,406,293,1701,55,1039,170
"","W01001709: Canton 1 ",930,782,861,1222,895,1629,506,384,424
"","W01001710: Canton 2 ",1013,871,1022,1229,711,1791,519,516,414
"","W01001711: Canton 3 ",489,436,585,996,347,1234,523,161,200
"","W01001712: Canton 4 ",889,948,1022,288,1036,1830,614,514,668
"","W01001713: Canton 5 ",904,789,1022,1102,1005,1821,419,147,254
"","W01001714: Canton 6 ",1749,1647,1673,1792,1649,1195,1203,190,1726
"","W01001715: Canton 7 ",1404,1236,1327,1166,1608,1074,947,689,403
"","W01001716: Canton 8 ",1260,1275,1221,1086,1470,1240,714,56,1309
"","W01001717: Canton 9 ",770,735,1022,432,752,1445,969,375,258
"","W01001718: Cathays 1 ",1340,1203,1673,1205,730,1844,630,373,580
"","W01001719: Cathays 2 ",1848,1816,1873,1692,1369,1804,698,859,1213
"","W01001720: Cathays 3 ",1205,1642,1761,536,703,1868,641,806,75
"","W01001721: Cathays 4 ",1479,1797,1873,509,1639,1104,1302,1018,113
"","W01001722: Cathays 5 ",1572,1691,1873,881,1072,1828,1169,1415,102
"","W01001723: Cathays 6 ",921,1776,1845,839,306,1720,342,130,22
"","W01001724: Cathays 7 ",1330,1764,1873,876,409,1659,891,1380,122
"","W01001725: Cathays 8 ",1598,1818,1873,1688,696,1645,1089,1273,69
"","W01001726: Cathays 9 ",1233,1427,1761,550,713,1666,662,554,400
"","W01001727: Creigiau/St. Fagans 1 ",1552,1783,1560,787,1861,282,1525,1320,1728
"","W01001728: Creigiau/St. Fagans 2 ",1815,1886,1845,1890,1870,283,1736,1281,1895
"","W01001729: Creigiau/St. Fagans 3 ",1481,1730,1673,690,1705,262,1275,989,1793
"","W01001730: Cyncoed 1 ",1885,1893,1873,1825,1895,667,1748,1396,1848
"","W01001731: Cyncoed 2 ",1889,1765,1673,1883,1865,1176,1559,1556,1844
"","W01001732: Cyncoed 3 ",1890,1848,1761,1856,1818,1279,1528,1035,1743
"","W01001733: Cyncoed 4 ",1850,1624,1673,1746,1856,1288,1357,1417,862
"","W01001734: Cyncoed 5 ",1877,1673,1761,1824,1869,1097,1365,1064,1885
"","W01001735: Cyncoed 6 ",1840,1777,1761,1456,1879,894,1343,1141,1433
"","W01001736: Cyncoed 7 ",1883,1858,1761,1870,1882,783,1336,1609,1878
"","W01001737: Ely 1 ",63,32,97,167,91,1622,5,1072,228
"","W01001738: Ely 2 ",23,14,97,22,22,932,61,1347,135
"","W01001739: Ely 3 ",45,19,120,491,9,1364,6,723,52
"","W01001740: Ely 4 ",59,46,97,104,77,1599,36,1223,109
"","W01001741: Ely 5 ",43,4,97,342,21,1578,69,1672,100
"","W01001742: Ely 6 ",120,41,295,433,63,1751,53,1653,46
"","W01001743: Ely 7 ",1545,1465,1327,1421,1282,672,668,1733,1555
"","W01001744: Ely 8 ",104,49,183,259,137,1333,71,1650,71
"","W01001745: Ely 9 ",1685,1514,1673,1603,1226,529,1314,1702,1753
"","W01001746: Ely 10 ",85,100,153,79,129,1806,10,273,185
"","W01001747: Fairwater (Cardiff) 1 ",1295,1119,1221,1029,1246,1395,645,1345,320
"","W01001748: Fairwater (Cardiff) 2 ",578,337,708,534,484,1679,561,988,672
"","W01001749: Fairwater (Cardiff) 3 ",618,403,585,942,570,1226,359,1408,658
"","W01001750: Fairwater (Cardiff) 4 ",206,128,153,542,451,1724,25,591,446
"","W01001751: Fairwater (Cardiff) 5 ",111,99,73,279,239,1417,26,1046,206
"","W01001752: Fairwater (Cardiff) 6 ",1451,1414,1327,1140,1151,1664,722,341,1009
"","W01001753: Fairwater (Cardiff) 7 ",232,179,295,414,190,780,348,1031,211
"","W01001754: Fairwater (Cardiff) 8 ",1106,1093,1022,1285,1219,1509,780,84,536
"","W01001755: Gabalfa 1 ",1865,1729,1761,1787,1747,1882,1282,441,1171
"","W01001756: Gabalfa 2 ",1350,1501,1761,1586,374,1570,1053,716,218
"","W01001757: Gabalfa 3 ",1653,1405,1560,1647,1342,1864,661,602,773
"","W01001758: Gabalfa 4 ",1754,1686,1845,1823,1270,1765,1094,329,616
"","W01001759: Grangetown 1 ",886,843,1022,960,842,1227,951,47,814
"","W01001760: Grangetown 2 ",493,351,782,856,577,1695,366,10,280
"","W01001761: Grangetown 3 ",212,118,347,535,387,1874,114,20,162
"","W01001762: Grangetown 4 ",106,84,253,87,308,1670,80,31,111
"","W01001763: Grangetown 5 ",503,658,1022,561,285,553,269,93,459
"","W01001764: Grangetown 6 ",396,312,782,630,373,1801,271,48,51
"","W01001765: Grangetown 7 ",553,429,782,1045,350,1842,543,32,501
"","W01001766: Grangetown 8 ",264,201,708,353,222,1811,487,60,17
"","W01001767: Grangetown 9 ",381,283,782,1011,189,1879,203,67,81
"","W01001768: Grangetown 10 ",354,169,708,601,477,1873,223,16,299
"","W01001769: Heath 1 ",1884,1870,1761,1706,1851,1330,1717,647,1829
"","W01001770: Heath 2 ",1791,1508,1447,1747,1629,1254,1769,858,1725
"","W01001771: Heath 3 ",1873,1844,1673,1728,1748,1323,1543,660,1672
"","W01001772: Heath 4 ",1752,1593,1327,1761,1542,1347,1044,875,1698
"","W01001773: Heath 5 ",1616,1313,1560,1604,1104,1154,1186,1051,956
"","W01001774: Heath 6 ",1893,1856,1873,1786,1844,1517,1311,794,1752
"","W01001775: Heath 7 ",1501,1295,1327,1202,1189,1669,619,852,1004
"","W01001776: Heath 8 ",1858,1687,1560,1545,1680,1603,1266,1337,1574
"","W01001777: Lisvane 1 ",1842,1850,1761,1889,1855,423,1322,1715,1855
"","W01001778: Lisvane 2 ",1856,1891,1873,1881,1893,385,1800,1302,1888
"","W01001779: Llandaff 1 ",1862,1825,1673,1562,1874,1321,1128,831,1615
"","W01001780: Llandaff 2 ",1807,1698,1761,1718,1644,1375,1660,453,883
"","W01001781: Llandaff 3 ",1522,1376,1111,1279,1857,1128,1057,501,1277
"","W01001782: Llandaff 4 ",1831,1790,1673,1467,1750,1162,1313,727,1696
"","W01001783: Llandaff 5 ",1896,1801,1845,1895,1785,1571,1720,891,1650
"","W01001784: Llandaff 6 ",1866,1774,1673,1793,1607,1600,1593,841,1008
"","W01001785: Llandaff North 1 ",272,157,456,511,206,1467,209,372,410
"","W01001786: Llandaff North 2 ",669,710,1111,257,478,1475,581,510,434
"","W01001787: Llandaff North 3 ",443,462,585,382,302,769,655,366,644
"","W01001788: Llandaff North 4 ",220,237,400,310,79,1439,210,369,177
"","W01001789: Llandaff North 5 ",1434,1150,1221,1274,1197,1861,635,757,929
"","W01001790: Llandaff North 6 ",694,471,861,1175,268,1596,988,910,462
"","W01001791: Llanishen 1 ",1646,1162,1327,1782,1615,1764,986,1098,740
"","W01001792: Llanishen 2 ",408,243,456,212,714,1351,789,962,430
"","W01001793: Llanishen 3 ",1845,1767,1761,1896,1781,587,1777,1026,1780
"","W01001794: Llanishen 4 ",1871,1726,1761,1843,1823,945,1610,1023,1539
"","W01001795: Llanishen 5 ",1843,1787,1761,1893,1852,622,1461,923,1788
"","W01001796: Llanishen 6 ",1800,1462,1447,1871,1734,1318,1429,1004,1559
"","W01001797: Llanishen 7 ",1705,1368,1447,1615,1591,1545,1150,816,984
"","W01001798: Llanishen 8 ",1828,1718,1673,1814,1703,708,1537,1148,1669
"","W01001799: Llanishen 9 ",1869,1795,1761,1315,1892,1101,1751,1073,1871
"","W01001800: Llanishen 10 ",722,510,782,684,768,1641,755,693,402
"","W01001801: Llanishen 11 ",1266,864,1221,1174,924,1505,1202,682,1093
"","W01001802: Llanrumney 1 ",724,640,708,671,683,1723,243,905,690
"","W01001803: Llanrumney 2 ",310,264,456,587,199,1305,228,478,182
"","W01001804: Llanrumney 3 ",392,385,708,421,210,1275,265,306,214
"","W01001805: Llanrumney 4 ",284,214,347,564,423,1080,139,297,241
"","W01001806: Llanrumney 5 ",1049,1037,941,1333,909,1609,415,158,959
"","W01001807: Llanrumney 6 ",132,86,253,416,82,1023,142,431,97
"","W01001808: Llanrumney 7 ",103,55,295,267,60,1558,110,359,84
"","W01001809: Pentwyn 1 ",1147,975,1022,893,1064,1414,569,662,1265
"","W01001810: Pentwyn 2 ",261,131,400,439,173,1421,136,718,1605
"","W01001811: Pentwyn 3 ",89,12,253,568,27,1652,16,466,1354
"","W01001812: Pentwyn 4 ",945,621,1022,994,516,1628,565,1332,1617
"","W01001813: Pentwyn 5 ",149,108,120,172,271,1863,65,934,1007
"","W01001814: Pentwyn 6 ",1223,1051,941,1220,1030,1856,834,1005,415
"","W01001815: Pentwyn 7 ",1283,1023,1221,1523,1009,1182,613,392,1281
"","W01001816: Pentwyn 8 ",298,182,456,340,298,1499,426,232,784
"","W01001817: Pentwyn 9 ",1061,866,1022,1580,805,1212,422,399,1130
"","W01001818: Pentwyn 10 ",966,663,1022,1121,1068,1348,546,313,979
"","W01001819: Pentyrch 1 ",1816,1644,1673,1813,1780,630,1441,1488,1678
"","W01001820: Pentyrch 2 ",1699,1510,1327,1461,1746,1247,1741,456,1610
"","W01001821: Penylan 1 ",1794,1689,1873,1237,1773,1215,1563,577,1150
"","W01001822: Penylan 2 ",1517,1134,1327,1827,1755,1169,1078,180,1353
"","W01001823: Penylan 3 ",1745,1535,1761,1496,1754,1697,1363,155,1318
"","W01001824: Penylan 4 ",1057,1176,1221,1028,1686,1857,457,70,68
"","W01001825: Penylan 5 ",911,908,861,1165,1495,1653,398,26,452
"","W01001826: Penylan 6 ",1806,1692,1673,1801,1701,1147,1236,520,1493
"","W01001827: Penylan 7 ",1785,1707,1761,1703,1877,851,1446,315,1763
"","W01001828: Penylan 8 ",1786,1743,1560,1740,1646,888,1160,833,1738
"","W01001829: Plasnewydd 1 ",1352,1074,1560,1355,1089,1886,377,1569,130
"","W01001830: Plasnewydd 2 ",655,724,585,604,1339,1749,167,1101,16
"","W01001831: Plasnewydd 3 ",1506,1244,1560,1376,1099,1881,999,1446,142
"","W01001832: Plasnewydd 4 ",662,1432,1327,188,207,1829,343,1497,25
"","W01001833: Plasnewydd 5 ",682,647,708,430,1564,1662,171,539,175
"","W01001834: Plasnewydd 6 ",915,969,1221,668,538,1824,685,1015,106
"","W01001835: Plasnewydd 7 ",275,346,295,36,1110,1859,735,550,50
"","W01001836: Plasnewydd 8 ",1411,1297,1673,968,1733,1538,536,581,156
"","W01001837: Plasnewydd 9 ",1436,1325,1560,1013,1133,1640,976,1125,181
"","W01001838: Plasnewydd 10 ",1529,1332,1673,1068,1521,1825,846,1078,144
"","W01001839: Plasnewydd 11 ",1303,1166,1761,584,935,1851,566,1483,327
"","W01001840: Pontprennau/Old St. Mellons 1 ",1090,1198,1022,801,1143,634,533,944,1137
"","W01001841: Pontprennau/Old St. Mellons 2 ",1810,1375,1761,1888,1687,807,1285,1755,1781
"","W01001842: Pontprennau/Old St. Mellons 3 ",1887,1813,1873,1846,1721,917,1472,1683,1869
"","W01001843: Pontprennau/Old St. Mellons 4 ",1729,1807,1873,1737,1604,426,977,735,1483
"","W01001844: Pontprennau/Old St. Mellons 5 ",1620,1235,1560,1557,1384,857,1066,1204,1341
"","W01001845: Radyr 1 ",1864,1615,1673,1781,1889,1431,1518,582,1805
"","W01001846: Radyr 2 ",1736,1678,1761,1826,1779,550,1594,348,1600
"","W01001847: Radyr 3 ",1852,1789,1761,1885,1888,1075,1584,303,1894
"","W01001848: Rhiwbina 1 ",1888,1815,1761,1783,1752,1216,1763,1176,1808
"","W01001849: Rhiwbina 2 ",1735,1872,1761,1613,1810,382,1665,474,1847
"","W01001850: Rhiwbina 3 ",1895,1881,1761,1849,1838,1458,1507,904,1875
"","W01001851: Rhiwbina 4 ",1801,1655,1560,1656,1723,1368,1317,513,1742
"","W01001852: Rhiwbina 5 ",1859,1868,1845,1865,1820,562,1595,1025,1795
"","W01001853: Rhiwbina 6 ",1891,1830,1673,1800,1766,1266,1752,1543,1705
"","W01001854: Rhiwbina 7 ",1886,1705,1761,1712,1862,1328,1458,1439,1771
"","W01001855: Riverside 1 ",223,126,347,275,331,1729,324,438,74
"","W01001856: Riverside 2 ",51,77,97,16,231,1818,28,207,33
"","W01001857: Riverside 3 ",71,54,97,71,174,1788,225,280,118
"","W01001858: Riverside 4 ",1299,1075,1327,1008,1474,1761,598,958,161
"","W01001859: Riverside 5 ",1041,1028,1111,331,1519,1756,805,880,350
"","W01001860: Riverside 6 ",1553,1302,1327,1494,1584,1871,868,724,328
"","W01001861: Riverside 7 ",1029,1323,1447,141,1602,1803,590,670,341
"","W01001862: Riverside 8 ",398,202,585,993,437,1714,235,652,24
"","W01001863: Rumney 1 ",1078,856,1022,1542,876,1745,745,176,732
"","W01001864: Rumney 2 ",1389,1327,1447,764,1041,1682,848,486,1215
"","W01001865: Rumney 3 ",1173,1389,1327,697,969,911,843,181,1346
"","W01001866: Rumney 4 ",321,372,522,196,204,1141,112,709,723
"","W01001867: Rumney 5 ",80,69,183,240,39,1044,22,576,176
"","W01001868: Rumney 6 ",334,278,456,462,188,1491,108,410,912
"","W01001869: Splott 1 ",441,521,708,185,581,1784,733,36,184
"","W01001870: Splott 2 ",494,552,782,429,542,1686,193,17,461
"","W01001871: Splott 3 ",82,61,253,204,85,1452,54,11,150
"","W01001872: Splott 4 ",276,268,522,242,420,1896,113,19,255
"","W01001873: Splott 5 ",204,185,400,369,229,1852,30,13,317
"","W01001874: Splott 6 ",36,28,97,26,132,1782,270,46,41
"","W01001875: Splott 7 ",417,362,941,895,272,620,300,41,173
"","W01001876: Splott 8 ",84,65,183,344,71,1477,58,54,93
"","W01001877: Trowbridge 1 ",1287,1301,1327,1565,877,609,904,418,975
"","W01001878: Trowbridge 2 ",1030,903,1221,891,1046,1157,357,790,383
"","W01001879: Trowbridge 3 ",218,159,347,241,142,1464,153,785,557
"","W01001880: Trowbridge 4 ",125,35,400,229,89,939,157,463,647
"","W01001881: Trowbridge 5 ",241,197,253,362,290,1334,32,1044,878
"","W01001882: Trowbridge 6 ",1523,1361,1761,1805,943,716,1269,231,1712
"","W01001883: Trowbridge 7 ",110,130,97,124,168,1535,63,750,303
"","W01001884: Trowbridge 8 ",55,21,153,85,66,988,18,720,813
"","W01001885: Trowbridge 9 ",517,492,941,901,232,479,616,244,560
"","W01001886: Trowbridge 10 ",113,95,183,326,116,1086,74,100,235
"","W01001887: Whitchurch and Tongwynlais 1 ",1882,1887,1873,1721,1871,1580,1182,407,1730
"","W01001888: Whitchurch and Tongwynlais 2 ",1302,1269,1447,1280,1262,876,1159,61,1131
"","W01001889: Whitchurch and Tongwynlais 3 ",1372,1322,1111,1251,1517,1613,576,266,969
"","W01001890: Whitchurch and Tongwynlais 4 ",1687,1619,1560,1509,1418,1262,838,408,1624
"","W01001891: Whitchurch and Tongwynlais 5 ",1263,875,1111,1243,1433,1710,522,454,1030
"","W01001892: Whitchurch and Tongwynlais 6 ",1796,1832,1673,1764,1682,848,1351,442,1786
"","W01001893: Whitchurch and Tongwynlais 7 ",1098,973,1111,1377,1215,1229,781,164,404
"","W01001894: Whitchurch and Tongwynlais 8 ",1674,1717,1560,1521,1569,1007,1692,141,1631
"","W01001895: Whitchurch and Tongwynlais 9 ",390,483,120,496,1105,1219,981,203,542
"","W01001896: Whitchurch and Tongwynlais 10 ",1861,1839,1761,1514,1831,1635,1233,432,1586



Footnotes:
"1","The Index is constructed from a weighted sum of the deprivation score for each domain. The weights reflect the importance of the domain as an aspect of deprivation, and the quality of the indicators available for that domain. The domains and their weights for WIMD 2011 are:Income 23.5%Employment 23.5%Health 14%Education 14%Geographical access to services 10%Community safety 5%Physical environment 5%Housing 5%"
"2","Methodological changes from WIMD 2008: all claimants of Job-Seeker's Allowance (JSA) are included in the claimant count, not just those in receipt of the income-based part. This is because it is not, at present, possible to separate the two components robustly at the small area level. This is not in fact a methodological change from WIMD 2008, as all JSA claimants were included in the income domain in that edition too.Component indicators, data reference year(s), and data source:Percentage of adult claimants and dependent children in receipt of income-related benefits, 2009/10, Department for Work and Pensions. Percentage of adult claimants and dependent children in receipt of Tax Credits with an income less than the Wales median, 2009/10, HM Revenue and Customs. National Asylum Support Service (NASS)-supported asylum seekers, 2010, NASS.Indicators are counts of people, with the same denominator, so indicators aren't weighted."
"3","Methodological changes from WIMD 2008: the Employment and Support Allowance (ESA) has replaced Incapacity Benefit for new claimants since October 2008. There is only one indicator in the employment domain, this is the percentage of working age people in receipt of employment-related benefits. Data refers to the financial year 2009/10 and is sourced from the Department for Work and Pensions."
"4","Methodological changes from WIMD 2008: following the discovery of some anomalous data points in the health domain of WIMD 2008, the WIMD Steering Group agreed to change the age-sex standardisation methodology of the health indicators from direct to indirect standardisation for WIMD 2011. Indirect standardisation is a more robust approach for small number statistics such as the Index indicators. The effect of the change of methodology is limited, and is greatest where use of direct standardisation for very small numbers produced anomalous results for WIMD 2008. The new methodology corrects this problem.Component indicators, data reference year(s), data source and weight within domain:Cancer incidence, 2000-09, Velindre NHS Trust, 0.13. All-cause death rate, 2000-09, ONS, 0.39. Percentage of live single births <2.5kg, 2000-09, ONS, 0.10.Limiting long-term illness, 2001, Census, 0.38."
"5","Methodological changes from WIMD 2008: pupil postcodes are now available for both primary and secondary absences. This is an improvement over WIMD 2008, where the school-level data had to be apportioned to postcodes. The Key Stage 4 (GCSE)-level) points scoring system changed in 2008, and it also now includes qualifications other than GCSEs. Data are no longer available for the old points system. The inclusion of qualifications other than GCSE improves this indicator, but both the level and the ratio between successive grades are changed, which may lead to differences in the ranking.Further information - including weights and indicators used can be found in the WIMD 2011 technical report: http://wales.gov.uk/topics/statistics/publications/wimd11technical/?lang=en."
"6","There have been no methodological changes from WIMD 2008, as the exact same data and method has been used in WIMD 2011. Component indicators and weight within domain:Mean bus and walking journey time to: NHS dentist, 0.12.Food shop, 0.14.GP, 0.18.Leisure centre, 0.06.Library, 0.09.Post Office, 0.10.Primary school, 0.16.Secondary school, 0.07.Transport node, 0.07.All data refers to the year 2008 and is sourced from combining the Public Transport and Road Network, Postal Address File and Ordnance Survey."
"7","Methodological changes from WIMD 2008: in WIMD 2011, the violent crime rate is based on a single year (2009/10) of data, instead of the average over two years of data. This is due to a crime coding issue in the 2008/9 data year.Component indicators, data reference year(s), data source and weight within domain:Percentage of adult offenders, 2008/09-2009/10, Wales Probation Trust, 0.203.Police recorded burglary, 2008/09-2009/10, Welsh Police Forces, 0.062. Police recorded criminal damage, 2008/09-2009/10, Welsh Police Forces, 0.350.Fire incidence, 2005-06, Welsh Government, 0.040.Police recorded theft, 2008/09-2009/10, Welsh Polices Forces, 0.072. Police recorded violent crime, 2009/10, Welsh Police Forces, 0.194.Percentage of youth offenders, 2008/09-2009/10, Ministry of Justice, 0.079."
"8","The methodology used to create the indicators of the physical environment domain is the same for WIMD 2011 as it was for WIMD 2008. However, there have been some improvements to the air emissions mapping, and the flood risk mappingComponent indicators, data reference year and weight within domain:Air emissions, 2008, 0.167.Air quality, 2008, 0.167.Flood risk, 2009, 0.333.Proximity to waste disposal and industrial sites, 2010, 0.333.All data is sourced from the Environment Agency."
"9","The domain remains exactly the same as in WIMD 2008 and 2005. Caution is therefore advised, as changes to the housing stock are likely to have taken place over the last ten years, and the impact of this on the housing domain will not be established until the Census 2011 data are released.Component indicators, data reference year(s) and data source:Percentage of population in households with no central heating, 2001, Census.Percentage of population living in overcrowded households, 2001, Census. Both indicators have a 50% weighting."
"LSOA","Lower Layer Super Output Areas are part of the hierarchy of area building blocks designed to improve the reporting of small area statistics in England and Wales. They are designed to all be of a similar size in population terms and each contain a minimum population of 1,000 and a mean population of 1,500. They are an aggregation of adjacent Census Output Areas with similar social characteristics. Each LSOA typically contains between 4 and 6 Census Output Areas, and is constrained by the boundaries of the Standard Table (ST) wards used for the 2001 Census. In Wales there are 1,896 LSOAs.Local authority names are included to organise the 1,896 areas but are not ranked and do not have deprivation scores. "
".","The data item is not applicable."
Metadata:
"Title","WIMD 2011 Domain Ranks"
"Last update","2011"
"Next update","2014"
"Publishing organisation","Welsh Government"
"Source 1","Welsh Index of Multiple Deprivation, Welsh Government"
"Source 2","No drop down value selected"
"Source 3","No drop down value selected"
"Contact email","stats.inclusion@wales.gsi.gov.uk"
"Designation","National Statistics"
"Lowest level of geographical disaggregation","Lower-layer super output areas"
"Geographical coverage","Wales"
"Languages covered","English and Welsh"
"Data licensing","You may use and re-use this data free of charge in any format or medium, under the terms of the Open Government License - see http://www.nationalarchives.gov.uk/doc/open-government-licence"
"General description","WIMD is the Welsh Government's official measure of relative deprivation for small areas in Wales. It is designed to identify those small areas where there are the highest concentrations of several different types of deprivation. As such, WIMD is a measure of multiple deprivation that is both an area-based measure and a measure of relative deprivation.

WIMD 2011 ranks all small areas in Wales from 1 (most deprived) to 1,896 (least deprived).

The Index has three main components:
- The Index itself, which is a set of ranks;
- The ranks of the eight types of deprivation, or domains, from which the overall Index is constructed;
- The underlying indicators, which are directly measurable, and which are combined to create the domain ranks. Many, but not all, of the indicators are produced as rates. The units depend on what is being measured.

All of these components are calculated for each of the LSOAs in Wales. The overall 2011 WIMD ranks and the ranks of the eight domains of deprivation are published on the StatsWales website. Where available, the underlying indicator data is now published annually on StatsWales."
"Data collection and calculation","See information contained in weblinks."
"Frequency of publication","Every three years"
"Data reference periods","See information contained in weblinks."
"Users, uses and context","See information contained in weblinks."
"Rounding applied","See information contained in weblinks."
"Revisions information","not applicable"
"Statistical quality","See information contained in weblinks."
"Weblinks","Website: http://gov.wales/statistics-and-research/welsh-index-multiple-deprivation/?lang=en

Full Report: http://gov.wales/docs/statistics/2011/110831wimd11summaryen.pdf

Technical Report: http://gov.wales/docs/statistics/2011/111222wimd11techen.pdf"
"Keywords","WIMD 2011; Multiple Deprivation; Deprivation; Social Inclusion; LSOA; Index; Income; Employment; Health; Education; Community Safety; Housing; Physical Environment; Access to Services; Decile; Quintile"
